City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Troitsko-Pechorsk,62.7084,56.1964,18.0,52,77,2.38,RU,1658761819
Nambucca Heads,-30.65,153.0,13.0,90,10,1.89,AU,1658761820
Fergus Falls,46.283,-96.0776,20.33,64,0,3.09,US,1658761747
Wakefield,53.6809,-1.499,19.96,68,31,7.5,GB,1658761823
Fare,-16.7,-151.0167,24.55,82,94,3.63,PF,1658761824
Ucar,40.519,47.6542,27.1,47,10,3.86,AZ,1658761826
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,30.87,30,25,5.57,AR,1658761605
Chingirlau,51.095,54.0814,25.14,49,95,2.0,KZ,1658761828
Rapid City,44.0805,-103.231,21.72,72,20,2.06,US,1658761788
Nuuk,64.1835,-51.7216,10.34,76,20,1.54,GL,1658761831
Narsaq,60.9167,-46.05,13.12,73,100,2.2,GL,1658761832
Quatre Cocos,-20.2078,57.7625,20.05,74,46,5.43,MU,1658761833
Porgera,-5.4667,143.2,6.63,99,90,0.54,PG,1658761834
Kortkeros,61.8106,51.5806,20.0,45,80,2.8,RU,1658761836
Qrendi,35.8347,14.4583,35.81,32,0,2.06,MT,1658761837
La Tuque,47.4334,-72.7824,23.19,57,38,7.05,CA,1658761598
Lagoa,39.05,-27.9833,23.63,84,5,3.39,PT,1658761840
Moose Factory,51.2585,-80.6094,13.99,88,100,6.17,CA,1658761841
Proletariy,58.4342,31.7046,22.55,59,85,2.62,RU,1658761842
Pilar,-9.5972,-35.9567,26.96,67,59,4.79,BR,1658761844
Qui Nhon,13.7667,109.2333,27.1,83,98,1.13,VN,1658761845
Okhotsk,59.3833,143.3,11.87,91,88,1.41,RU,1658761846
Juneau,58.3019,-134.4197,12.82,98,100,0.0,US,1658761807
Namatanai,-3.6667,152.4333,26.04,84,61,4.57,PG,1658761849
Belaya Gora,68.5333,146.4167,13.45,49,13,5.31,RU,1658761850
Jasper,37.2001,-94.3502,28.4,61,0,5.14,US,1658761851
Salym,60.0625,71.4789,19.21,71,50,0.81,RU,1658761853
Mocuba,-16.8392,36.9856,21.94,53,0,3.86,MZ,1658761854
Fort Morgan,40.2503,-103.8,19.36,88,20,1.54,US,1658761855
Mulanje,-16.0316,35.5,20.87,45,84,3.83,MW,1658761857
Zaraza,9.3503,-65.3245,31.03,48,96,3.14,VE,1658761858
Samarai,-10.6167,150.6667,26.24,83,59,7.04,PG,1658761563
Harper,4.375,-7.7169,25.16,68,100,2.22,LR,1658761860
Kibala,9.1104,18.3463,30.79,63,84,1.07,TD,1658761862
Les Cayes,18.2,-73.75,28.91,71,86,6.0,HT,1658761863
Boone,39.0334,-92.3335,21.82,85,100,1.7,US,1658761864
Progreso,21.2833,-89.6667,30.06,66,42,4.4,MX,1658761866
Great Yarmouth,52.6083,1.7305,23.5,50,99,5.86,GB,1658761867
Jodhpur,26.2867,73.03,30.53,64,100,2.58,IN,1658761702
Iúna,-20.3458,-41.5358,25.81,39,3,1.26,BR,1658761870
Saint-Augustin,51.226,-58.6502,15.0,95,100,4.65,CA,1658761871
Kamenka,51.3223,42.7678,21.81,69,97,2.44,RU,1658761872
Khasan,42.4308,130.6434,19.67,96,21,0.97,RU,1658761874
Pontes e Lacerda,-15.2261,-59.3353,34.99,22,38,1.26,BR,1658761875
Cabadiangan,9.7531,122.4739,26.17,84,100,0.87,PH,1658761876
Härnösand,62.6323,17.9379,18.97,74,99,7.93,SE,1658761878
Lanzhou,36.0564,103.7922,27.31,52,0,2.48,CN,1658761666
Touros,-5.1989,-35.4608,28.02,62,59,8.79,BR,1658761880
Anadyr,64.75,177.4833,5.27,93,75,3.0,RU,1658761706
Basco,20.4487,121.9702,29.63,73,9,4.75,PH,1658761883
Sonīpat,28.9833,77.0167,31.0,44,100,3.66,IN,1658761884
Bonavista,48.6499,-53.1147,18.53,86,100,3.9,CA,1658761885
San Rafael,-34.6177,-68.3301,10.97,84,100,2.16,AR,1658761887
Aswān,24.0934,32.907,40.72,10,0,4.28,EG,1658761888
São Francisco,-15.9486,-44.8644,29.48,25,15,3.65,BR,1658761890
Eureka,40.8021,-124.1637,12.34,79,20,2.78,US,1658761891
High Level,58.5169,-117.136,17.3,53,94,1.51,CA,1658761846
Kumul,42.8,93.45,30.75,15,86,5.37,CN,1658761893
Usinsk,65.9939,57.5281,12.14,70,96,9.65,RU,1658761653
Conde,-7.2597,-34.9075,28.7,51,40,6.17,BR,1658761896
Avera,33.194,-82.5271,27.84,58,78,3.16,US,1658761897
Sept-Îles,50.2001,-66.3821,18.36,91,100,3.09,CA,1658761898
Tromsø,69.6496,18.957,15.01,72,75,1.03,NO,1658761900
Mossamedes,-15.1961,12.1522,19.67,77,23,4.01,AO,1658761901
Binanwanaan,13.7,123.3,24.59,90,100,0.94,PH,1658761902
Bereket,39.2446,55.5154,32.42,43,99,6.29,TM,1658761904
Camacha,33.0833,-16.3333,27.68,51,0,6.17,PT,1658761905
Gao,16.6362,1.637,38.61,24,45,5.53,ML,1658761906
Iberia,29.9502,-91.7507,30.94,74,75,1.54,US,1658761908
Ngawi,-7.4038,111.4461,21.74,76,89,2.77,ID,1658761909
Xaçmaz,41.4635,48.806,25.55,48,9,2.62,AZ,1658761910
General José Eduvigis Díaz,-27.1667,-58.4167,27.02,51,81,3.54,PY,1658761912
Suzun,53.7841,82.3116,16.26,66,84,1.15,RU,1658761913
Kununurra,-15.7667,128.7333,13.99,67,2,0.0,AU,1658761914
Northam,51.0333,-4.2167,18.47,79,32,8.55,GB,1658761916
Helmstedt,52.2279,11.0099,30.68,29,100,7.93,DE,1658761917
Lichtenburg,-26.152,26.1597,18.04,23,5,2.74,ZA,1658761918
Wukari,7.85,9.7833,28.54,68,92,3.71,NG,1658761920
Kirensk,57.7853,108.1119,18.55,94,92,2.5,RU,1658761921
Kuah,6.3265,99.8432,28.09,74,100,1.91,MY,1658761922
Palmer,42.1584,-72.3287,27.6,75,100,5.14,US,1658761924
Arawa,-6.2132,155.5367,24.73,92,28,1.69,PG,1658761925
Kavaratti,10.5669,72.642,27.42,82,31,7.66,IN,1658761926
Riacho de Santana,-13.6092,-42.9389,27.47,34,59,5.4,BR,1658761928
Korla,41.7597,86.1469,32.91,16,100,3.87,CN,1658761929
Gamba,-2.65,10.0,22.66,83,93,4.44,GA,1658761930
Badarganj,25.674,89.0549,28.03,79,95,2.06,BD,1658761932
Kalevala,65.2,31.1667,20.04,49,100,2.55,RU,1658761933
Karatau,43.1667,70.4667,32.14,17,0,6.02,KZ,1658761934
Manzhouli,49.6,117.4333,17.69,91,65,3.21,CN,1658761936
Havelock,34.8791,-76.9013,29.77,78,75,7.2,US,1658761934
Luancheng,37.8792,114.6517,23.95,85,97,4.99,CN,1658761938
Bermeo,43.4209,-2.7215,23.03,71,28,6.11,ES,1658761939
Drayton Valley,53.2168,-114.9854,12.65,96,100,3.13,CA,1658761844
Alberton,46.8168,-64.0654,23.09,76,100,6.74,CA,1658761917
Vestmannaeyjar,63.4427,-20.2734,11.65,75,100,2.76,IS,1658761943
Ostrovnoy,68.0531,39.5131,13.5,68,69,2.11,RU,1658761945
Pangai,-19.8,-174.35,23.9,65,99,7.74,TO,1658761946
Tablas,6.6292,122.1747,26.49,80,98,1.25,PH,1658761947
Luangwa,-15.6167,30.4167,27.99,26,1,3.11,ZM,1658761948
Yinchuan,38.4681,106.2731,30.78,26,34,2.31,CN,1658761950
El Carrizo,24.0261,-106.8814,27.72,69,62,1.59,MX,1658761951
Khairpur,27.5295,68.7617,27.0,64,100,4.69,PK,1658761952
Comodoro Rivadavia,-45.8667,-67.5,5.92,75,40,2.06,AR,1658761954
Ettaiyapuram,9.1441,77.9907,30.45,56,69,4.31,IN,1658761955
Shanghai,31.2222,121.4581,29.63,85,75,4.0,CN,1658761703
Lagos,6.5833,3.75,26.93,74,100,4.56,NG,1658761765
Weiser,44.251,-116.9693,24.07,48,0,0.89,US,1658761959
Gbarnga,6.9956,-9.4722,27.18,61,100,1.25,LR,1658761960
Shizunai-furukawachō,42.3339,142.3669,19.08,91,0,0.6,JP,1658761824
Beringovskiy,63.05,179.3167,7.18,75,100,3.15,RU,1658761963
Bambous Virieux,-20.3428,57.7575,20.12,73,49,5.49,MU,1658761964
Ust'-Ilimsk,58.0006,102.6619,17.3,64,98,1.27,RU,1658761965
Kupino,54.3663,77.2981,18.87,62,11,0.64,RU,1658761966
Bayangol,50.6977,103.4656,10.55,93,87,1.05,RU,1658761968
Chifeng,42.2683,118.9636,22.91,63,69,0.78,CN,1658761969
Clyde River,70.4692,-68.5914,6.42,82,89,1.41,CA,1658761840
Pangkalanbuun,-2.6833,111.6167,22.88,87,90,1.0,ID,1658761971
Soledade,-28.8183,-52.5103,21.91,63,0,2.39,BR,1658761973
Teya,60.3778,92.6267,13.56,98,100,1.14,RU,1658761974
Florø,61.5996,5.0328,13.0,100,75,6.17,NO,1658761975
Valparaíso,-33.0393,-71.6273,12.0,84,100,8.23,CL,1658761959
Baringo,0.4667,35.9667,24.2,60,91,2.95,KE,1658761978
Landerneau,48.4525,-4.2525,20.08,70,75,7.2,FR,1658761979
Chesterfield,37.3835,-77.5997,30.62,71,98,0.89,US,1658761981
Mwinilunga,-11.7358,24.4293,25.88,21,8,3.37,ZM,1658761982
Bālurghāt,25.2167,88.7667,28.7,71,56,2.78,IN,1658761977
Visby,57.6409,18.296,25.12,38,0,8.23,SE,1658761984
Carroll,39.5501,-77.0164,28.08,71,0,4.12,US,1658761986
Ambulu,-8.345,113.6058,22.3,82,98,1.93,ID,1658761987
Inzer,54.2167,57.5556,19.3,90,97,1.21,RU,1658761989
Kokopo,-4.352,152.2633,25.16,86,17,4.04,PG,1658761990
Harrisburg,40.2737,-76.8844,25.98,86,100,1.54,US,1658761991
Tual,-5.6667,132.75,26.58,85,89,10.09,ID,1658761993
Kenora,49.8167,-94.4337,17.1,63,24,2.24,CA,1658761994
Ciudad del Carmen,18.6333,-91.8333,28.02,78,20,2.57,MX,1658761808
Carora,10.1755,-70.0827,30.85,42,96,2.19,VE,1658761997
Krasnoyarsk,56.0097,92.7917,14.22,87,63,2.02,RU,1658761990
Jhalidā,23.3667,85.9667,26.39,86,69,3.14,IN,1658761999
San Quintín,30.4833,-115.95,20.28,82,37,2.57,MX,1658761908
Acajutla,13.5928,-89.8275,28.24,62,96,0.23,SV,1658762001
Porto Torres,40.835,8.3972,34.1,45,0,3.89,IT,1658762003
Kundiawa,-6.0167,144.9667,15.39,96,100,0.54,PG,1658762004
Turan,16.0678,108.2208,28.99,79,20,1.54,VN,1658762006
Tilichiki,60.4667,166.1,8.5,86,36,1.92,RU,1658762007
Mayo,38.8876,-76.5119,29.72,74,85,1.34,US,1658762008
Piet Retief,-27.0071,30.8132,13.85,30,0,2.69,ZA,1658762010
Sørkjosen,69.8,20.9333,17.0,59,100,9.77,NO,1658762011
Nanortalik,60.1432,-45.2371,6.31,95,100,3.95,GL,1658762012
Maţāy,28.419,30.7792,38.52,11,0,4.91,EG,1658762014
Yuzhne,46.6221,31.1013,28.19,41,99,4.37,UA,1658762015
Tursunzoda,38.5144,68.2333,35.81,14,0,1.85,TJ,1658762016
Sola,-13.8833,167.55,26.17,80,20,4.74,VU,1658762018
Parabel',58.6978,81.4825,13.06,92,29,2.55,RU,1658762019
Colinas,-6.0258,-44.2492,33.35,31,62,3.1,BR,1658762020
Palu,-0.8917,119.8707,24.18,93,41,1.21,ID,1658762022
Arlit,18.7369,7.3853,42.59,9,8,2.37,NE,1658762023
Jieshi,22.8134,115.8257,29.29,83,31,3.14,CN,1658762024
Jalu,29.0331,21.5482,38.9,11,1,6.37,LY,1658762026
Aasiaat,68.7098,-52.8699,3.72,93,100,0.75,GL,1658762027
Evansville,37.9748,-87.5558,24.76,94,100,2.57,US,1658761962
Mount Gambier,-37.8333,140.7667,7.71,88,97,5.59,AU,1658762029
La Ronge,55.1001,-105.2842,14.03,81,100,3.69,CA,1658762031
Puerto Maldonado,-12.6,-69.1833,24.22,94,100,1.54,PE,1658762032
Yangi Marg`ilon,40.4272,71.7189,36.4,17,0,1.03,UZ,1658762033
Husavik,66.0449,-17.3389,11.67,73,34,4.35,IS,1658762035
Bianzhuang,34.8486,118.0447,24.61,90,1,4.32,CN,1658762036
Kieta,-6.2167,155.6333,25.73,85,42,2.34,PG,1658762037
Shahreza,32.0339,51.8794,34.26,7,10,6.28,IR,1658762039
Paamiut,61.994,-49.6678,6.83,87,4,1.56,GL,1658762040
